"year","LEVEL","cnty","own_code","naics","employment","wages","largest_firm","total_firms"
2013.0,"2","033","5","52",3.9166666666666665,145947.0,3.9166666666666665,1
2013.0,"2","033","5","54",1.7499999999999996,65823.0,0.75,5
2013.0,"2","033","5","56",7.166666666666667,233442.0,3.5000000000000004,4
2013.0,"2","033","5","61",1.0,70358.0,1.0,1
2013.0,"2","033","5","62",4.25,66547.0,2.25,3
2013.0,"2","033","5","71",0.5833333333333334,36308.0,0.5833333333333334,1
2013.0,"2","033","5","72",39.75,1059292.0,18.5,12
2013.0,"2","033","5","81",3.0,69000.0,2.0,2
2013.0,"2","035","5","11",166.58333333333331,6222455.0,53.16666666666667,41
2013.0,"2","035","5","21",456.00000000000006,58415361,175.91666666666669,59
2013.0,"2","035","5","22",186.41666666666666,15289547,162.16666666666666,7
2013.0,"2","035","5","23",6366.583333333322,315878369,250.33333333333331,929
2013.0,"2","035","5","31-33",2304.7499999999995,118070892,420.1666666666667,142
2013.0,"2","035","5","42",3679.333333333334,376493183,248.41666666666666,1309
2013.0,"2","035","5","44-45",16614.999999999996,438350365,479.75,915
2013.0,"2","035","5","48-49",786.2499999999998,37105636,446.25,109
2013.0,"2","035","5","51",5022.416666666666,536933786,864.5,225
2013.0,"2","035","5","52",6639.583333333333,590401949,1174.0,758
2013.0,"2","035","5","53",1315.2499999999986,68661775,93.5,538
2013.0,"2","035","5","54",11371.333333333325,1079316263,941.6666666666666,2596
2013.0,"2","035","5","55",2603.9166666666647,457251164,1774.1666666666667,168
2013.0,"2","035","5","56",5740.25,236317192,1012.25,704
2013.0,"2","035","5","61",1749.6666666666663,64717602,315.75,221
2013.0,"2","035","5","62",9551.166666666672,479519267,1020.5000000000001,801
2013.0,"2","035","5","71",3057.0,58017417,592.5,146
2013.0,"2","035","5","72",10741.58333333333,187883684,184.08333333333331,557
2013.0,"2","035","5","81",3197.0000000000005,100601393,61.25,834
2013.0,"2","035","5","99",25.250000000000004,8985674.0,3.75,50
2013.0,"2","037","5","11",44.08333333333333,1668550.0,16.0,13
2013.0,"2","037","5","21",9.0,508370.0,4.583333333333333,6
2013.0,"2","037","5","22",65.33333333333333,4423765.0,15.083333333333332,10
2013.0,"2","037","5","23",2456.583333333333,118876647,110.66666666666666,653
2013.0,"2","037","5","31-33",276.6666666666666,12309710,91.25,57
2013.0,"2","037","5","42",439.91666666666674,28516170,79.5,131
2013.0,"2","037","5","44-45",3292.7499999999973,113723864,255.16666666666666,397
2013.0,"2","037","5","48-49",491.75000000000006,20401863,142.08333333333334,64
2013.0,"2","037","5","51",280.1666666666666,14654580,62.58333333333333,38
2013.0,"2","037","5","52",548.6666666666666,39684347,74.66666666666666,120
2013.0,"2","037","5","53",1433.4999999999998,58674016,225.33333333333331,342
2013.0,"2","037","5","54",1097.0833333333333,68844648,61.0,441
2013.0,"2","037","5","55",60.166666666666664,4599003.0,13.833333333333334,24
2013.0,"2","037","5","56",1555.916666666667,47626751,165.66666666666669,254
2013.0,"2","037","5","61",175.0,6863546.0,66.16666666666667,27
2013.0,"2","037","5","62",2015.4166666666658,119596294,759.0833333333334,164
2013.0,"2","037","5","71",3441.1666666666674,123708113,2424.4166666666665,93
2013.0,"2","037","5","72",7243.249999999997,214443947,364.33333333333337,272
2013.0,"2","037","5","81",892.0833333333334,30338309,75.83333333333333,234
2013.0,"2","037","5","99",1.8333333333333335,56476.0,1.3333333333333335,4
2013.0,"2","039","5","11",80.08333333333334,2871482.0,38.41666666666667,21
2013.0,"2","039","5","21",1.0,46650.0,1.0,1
2013.0,"2","039","5","23",645.4166666666666,31933707,103.16666666666666,150
2013.0,"2","039","5","31-33",106.0,4859413.0,45.33333333333333,20
2013.0,"2","039","5","42",51.66666666666666,3942529.0,5.5,37
2013.0,"2","039","5","44-45",393.83333333333337,9003610.0,166.66666666666669,39
2013.0,"2","039","5","48-49",18.916666666666668,1041863.0,6.916666666666667,16
2013.0,"2","039","5","51",22.666666666666668,1066230.0,5.5,7
2013.0,"2","039","5","52",77.16666666666667,4628177.0,9.75,33
2013.0,"2","039","5","53",18.083333333333332,492463.0,4.0,13
2013.0,"2","039","5","54",211.8333333333333,14723283,19.083333333333332,106
2013.0,"2","039","5","55",0.9166666666666666,82296.0,0.75,2
2013.0,"2","039","5","56",223.58333333333334,4235519.0,88.83333333333333,53
2013.0,"2","039","5","61",6.916666666666667,560055.0,5.916666666666667,3
2013.0,"2","039","5","62",88.25,2764290.0,40.583333333333336,20
2013.0,"2","039","5","71",81.16666666666667,1642867.0,44.16666666666667,6
2013.0,"2","039","5","72",243.6666666666667,3023380.0,29.75,28
2013.0,"2","039","5","81",101.58333333333334,3155625.0,18.916666666666668,43
2013.0,"2","039","5","99",0.0,0.0,0.0,3
2013.0,"2","041","5","11",209.33333333333331,4917543.0,50.75,39
2013.0,"2","041","5","21",148.33333333333331,12705479,39.58333333333333,29
2013.0,"2","041","5","22",459.75,41404372,308.8333333333333,14
2013.0,"2","041","5","23",12112.25000000002,564688829,353.08333333333337,1771
2013.0,"2","041","5","31-33",11446.5,656623565,1070.9166666666667,538
