var,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
jobs_traderet_co,274489,276613,275905,273944,275964,280876,282907,290340,286976,272321,270717,274660,279333,284687.4166666666,291965.0833333334,300968.4166666667,307209.5000000001,310669.6666666666,312297.8333333333,310978.4166666666,302261.0833333332,313292.58333333326,310246.6666666666,311750.75000000006,310051.2087724054
prop_transware_co,9886,9894,10520,11191,11914,12501,12926,14047,13544,12819,12852,13638,13783,14539,17578,23157,30405,37720,45164,50878,56941,62007,64552,70018,71611.68672591557
ws_transware_co,65785,64867,61672,60410,60818,60877,61879,63901,63463,58933,57007,57726,59717,62370.083333333314,65137.416666666635,67449.91666666667,68292.33333333331,72435.41666666666,77496.00000000001,83341.58333333337,86657.66666666666,92848.33333333334,100780.16666666667,104249.49999999997,106622.33333333334
jobs_transware_co,75671,74761,72192,71601,72732,73378,74805,77948,77007,71752,69859,71364,73500,76909.08333333331,82715.41666666663,90606.91666666667,98697.33333333331,110155.41666666666,122660.00000000001,134219.58333333337,143598.66666666666,154855.33333333334,165332.1666666667,174267.49999999997,178234.0200592489
inc_transware_co,2342866802,2435256653,2369232417,2283819871,2350709517,2359958482,2597965380,2672461372,2643888491,2462162301,2433057881,2523564423,2716614791,3012998394,3292242570,3494036257,3629582338,4052703027,4399852853,4904501181,5096199315,5718549572,6745366131,7557354332,8268471292.357522
incws_transware_co,2342331978,2434713138,2368664460,2283196741,2350006904,2359183600,2597123114,2671549067,2642946920,2461442635,2432273804,2522674927,2715687436,3012053464,3291156039,3492905652,3628408605,4051332975,4398186295,4902636597,5094506081,5716302437,6742642774,7554550190,8265603325
incp_transware_co,534824,543515,567957,623130,702613,774882,842266,912305,941571,719666,784077,889496,927355,944930,1086531,1130605,1173733,1370052,1666558,1864584,1693234,2247135,2723357,2804142,2867967.3575220993
incp_info_co,148901,125678,140804,164972,181439,213714,235919,255061,240684,221907,231199,244162,245502,258019,288151,282160,288374,289645,277963,294008,278479,326914,343394,343492,327441.5329984725
prop_info_co,5174,4218,4628,5239,5670,6295,6905,6949,6787,6803,6832,7118,7212,7204,7477,7381,7548,7739,7926,7968,7351,8491,8546,8640,8236.275794215884
ws_info_co,106270,106542,92829,83933,79836,75676,73853,74138,74616,70807,68755,68806,66526,69786.5,70002.00000000001,70580.49999999999,71695.58333333333,71587.74999999999,74931.16666666666,76193.5,75758.08333333331,76413.83333333334,79256.41666666667,77245.99999999999,73636.50000000001
